created_at,entry_id,x,y,z,is_collision,batch_id
2025-01-09T02:55:56+00:00,1,-2,0.71,-9.02,0,483505
2025-01-09T02:56:13+00:00,2,-2.04,0.75,-9.06,0,483505
2025-01-09T02:56:30+00:00,3,-1.96,0.75,-9.02,0,483505
2025-01-09T02:56:48+00:00,4,-2,0.78,-9.02,0,483505
2025-01-09T02:57:05+00:00,5,-2,0.71,-9.06,0,483505
2025-01-09T02:57:30+00:00,6,-1.96,0.75,-9.02,0,576962
2025-01-09T02:57:47+00:00,7,-2,0.55,-9.02,0,576962
2025-01-09T02:58:04+00:00,8,-1.92,0.27,-9.26,0,576962
2025-01-09T02:58:24+00:00,9,-1.77,0.9,-9.3,0,576962
2025-01-09T02:58:42+00:00,10,-2.08,0.39,-8.9,0,576962
2025-01-09T02:59:06+00:00,11,-1.96,0.59,-8.98,0,831954
2025-01-09T02:59:24+00:00,12,-2,0.67,-8.98,0,831954
2025-01-09T02:59:41+00:00,13,-2,0.71,-8.98,0,831954
2025-01-09T03:00:17+00:00,14,-2.04,2.08,-8.98,0,831954
2025-01-09T03:00:41+00:00,15,-2.04,0.86,-9.06,0,122279
2025-01-09T03:00:59+00:00,16,-2.24,0.51,-9.02,0,122279
2025-01-09T03:01:17+00:00,17,-2.12,0.86,-9.34,0,122279
2025-01-09T03:01:38+00:00,18,-1.53,0.9,-8.39,0,122279
2025-01-09T03:02:46+00:00,19,-3.14,2.12,-9.96,0,800996
2025-01-09T03:03:06+00:00,20,-2.47,0.75,-12.71,0,800996
2025-01-09T03:03:42+00:00,21,-1.77,1.92,-8.04,0,800996
2025-01-09T03:04:06+00:00,22,-2.12,0.78,-8.98,0,166095
2025-01-09T03:04:23+00:00,23,-1.73,1.26,-8.9,0,166095
2025-01-09T03:04:45+00:00,24,-3.1,2.82,-14.63,0,166095
2025-01-09T03:05:23+00:00,25,-3.06,0.82,-8.55,0,166095
2025-01-09T03:05:47+00:00,26,-2.16,0.59,-8.94,0,421056
2025-01-09T03:06:04+00:00,27,-2.16,0.51,-9.02,0,421056
2025-01-09T03:06:22+00:00,28,-2.24,0.55,-8.94,0,421056
2025-01-09T03:06:39+00:00,29,-2.16,0.51,-8.94,0,421056
2025-01-09T03:06:57+00:00,30,-2.16,0.59,-8.94,0,421056
2025-01-09T03:07:22+00:00,31,-2.16,0.59,-9.02,0,811190
2025-01-09T03:07:39+00:00,32,-2.16,0.59,-8.94,0,811190
2025-01-09T03:07:56+00:00,33,-2.28,0.55,-8.87,0,811190
2025-01-09T03:08:13+00:00,34,-2.2,0.55,-8.94,0,811190
2025-01-09T03:08:31+00:00,35,-1.45,1.06,-8.63,0,811190
2025-01-09T03:08:55+00:00,36,-2.04,0.78,-8.9,0,866595
2025-01-09T03:09:12+00:00,37,-2.12,0.94,-9.06,0,866595
2025-01-09T03:09:29+00:00,38,-1.69,0.27,-8.59,0,866595
2025-01-09T03:09:47+00:00,39,-0.24,0.27,-9.06,0,866595
2025-01-09T03:10:04+00:00,40,-1.37,0.51,-9.69,0,866595
2025-01-09T03:10:29+00:00,41,-2.12,0.55,-8.98,0,890891
2025-01-09T03:10:46+00:00,42,-2.2,0.63,-9.06,0,890891
2025-01-09T03:11:03+00:00,43,-2.16,0.63,-9.02,0,890891
2025-01-09T03:11:21+00:00,44,-2.16,0.63,-8.9,0,890891
2025-01-09T03:11:38+00:00,45,-2.16,0.27,-9.3,0,890891
2025-01-09T03:12:02+00:00,46,-1.26,1.45,-9.57,0,182467
2025-01-09T03:12:20+00:00,47,-2.67,-0.16,-8.28,0,182467
2025-01-09T03:12:37+00:00,48,-1.02,0.75,-8.9,0,182467
2025-01-09T03:12:54+00:00,49,-2.24,0.31,-8.71,0,182467
2025-01-09T03:13:11+00:00,50,-0.55,0.47,-9.3,0,182467
2025-01-09T03:13:37+00:00,51,-1.61,0.86,-9.06,0,510710
2025-01-09T03:13:54+00:00,52,-1.65,1.88,-8,0,510710
2025-01-09T03:14:11+00:00,53,-2.51,0.55,-8.2,0,510710
2025-01-09T03:14:28+00:00,54,-2.39,1.45,-8.83,0,510710
2025-01-09T03:14:46+00:00,55,-1.84,1.14,-9.1,0,510710
2025-01-09T03:15:10+00:00,56,-1.45,-0.27,-9.02,0,421003
2025-01-09T03:15:27+00:00,57,-2.59,0.08,-8.55,0,421003
2025-01-09T03:15:45+00:00,58,-2.9,-0.24,-8.39,0,421003
2025-01-09T03:16:02+00:00,59,-2.28,0.43,-9.34,0,421003
2025-01-09T03:16:19+00:00,60,-1.45,0.35,-9.34,0,421003
2025-01-09T03:16:44+00:00,61,-2.16,0.86,-8.98,0,809683
2025-01-09T03:17:01+00:00,62,-2.47,1.77,-8.63,0,809683
2025-01-09T03:17:18+00:00,63,-2.55,0.98,-8.9,0,809683
2025-01-09T03:17:36+00:00,64,-1.96,1.22,-8.24,0,809683
2025-01-09T03:17:53+00:00,65,-3.1,0.98,-8.28,0,809683
2025-01-09T03:18:17+00:00,66,-1.57,0.75,-8.87,0,945804
2025-01-09T03:18:35+00:00,67,-2.79,1.37,-8.47,0,945804
2025-01-09T03:18:52+00:00,68,-2.9,1.1,-8.51,0,945804
2025-01-09T03:19:09+00:00,69,-3.06,2.75,-8.04,0,945804
2025-01-09T03:19:27+00:00,70,-3.02,2.31,-11.14,0,945804
2025-01-09T03:20:09+00:00,71,-2.04,0.63,-9.02,0,505389
2025-01-09T03:20:26+00:00,72,-2.12,0.63,-9.81,0,505389
2025-01-09T03:20:44+00:00,73,-2,0.71,-8.98,0,505389
2025-01-09T03:21:01+00:00,74,-2,0.75,-8.94,0,505389
2025-01-09T03:21:25+00:00,75,-2.16,0.67,-8.71,0,312995
2025-01-09T03:21:43+00:00,76,-2.16,0.67,-8.98,0,312995
2025-01-09T03:22:00+00:00,77,-2.12,0.71,-8.87,0,312995
2025-01-09T03:22:17+00:00,78,-2.12,0.75,-8.94,0,312995
2025-01-09T03:22:35+00:00,79,-2.08,0.75,-8.94,0,312995
2025-01-09T03:23:17+00:00,80,-2.16,0.71,-8.9,0,572384
2025-01-09T03:23:35+00:00,81,-2.16,0.67,-8.9,0,572384
2025-01-09T03:23:52+00:00,82,-2.12,0.67,-8.94,0,572384
2025-01-09T03:24:09+00:00,83,-2.16,0.75,-8.9,0,572384
2025-01-09T03:24:34+00:00,84,-2.2,0.75,-8.87,0,517087
2025-01-09T03:24:51+00:00,85,-2.16,0.78,-8.87,0,517087
2025-01-09T03:25:08+00:00,86,-2.2,0.75,-8.87,0,517087
2025-01-09T03:25:26+00:00,87,-2.2,0.75,-8.87,0,517087
2025-01-09T03:25:44+00:00,88,-2.16,0.75,-8.94,0,517087
2025-01-09T03:26:09+00:00,89,-2.16,0.78,-8.98,0,418000
2025-01-09T03:26:26+00:00,90,-2.2,0.63,-8.98,0,418000
2025-01-09T03:26:44+00:00,91,-2.16,0.71,-8.98,0,418000
2025-01-09T03:27:01+00:00,92,-2.16,0.75,-8.94,0,418000
2025-01-09T03:27:18+00:00,93,-2.2,0.67,-8.94,0,418000
2025-01-09T03:27:43+00:00,94,-1.49,1.02,-9.06,0,622994
2025-01-09T03:28:00+00:00,95,-1.57,0.98,-9.02,0,622994
2025-01-09T03:28:17+00:00,96,-1.22,0.47,-8.94,0,622994
2025-01-09T03:28:35+00:00,97,-2.43,-0.43,-8.75,0,622994
2025-01-09T03:28:52+00:00,98,-1.92,1.02,-8.9,0,622994
2025-01-09T03:29:16+00:00,99,-2.16,0.71,-8.94,0,325395
2025-01-09T03:29:34+00:00,100,-2.2,0.67,-8.9,0,325395
2025-01-09T03:29:51+00:00,101,-2.16,0.63,-8.9,0,325395
2025-01-09T03:30:08+00:00,102,-2.12,0.63,-8.98,0,325395
2025-01-09T03:30:26+00:00,103,-2.12,0.63,-8.94,0,325395
2025-01-09T03:30:50+00:00,104,-1.77,0.75,-8.87,0,904527
2025-01-09T03:31:08+00:00,105,-2.12,1.29,-10,0,904527
2025-01-09T03:31:25+00:00,106,-0.9,-0.08,-8.39,0,904527
2025-01-09T03:31:42+00:00,107,-3.3,0.2,-8.16,0,904527
2025-01-09T03:31:59+00:00,108,-2.43,1.88,-10.12,0,904527
2025-01-09T03:32:24+00:00,109,-2.24,0.59,-8.9,0,941049
2025-01-09T03:32:41+00:00,110,-2.2,0.63,-8.98,0,941049
2025-01-09T03:32:58+00:00,111,-2.2,0.63,-8.94,0,941049
2025-01-09T03:33:15+00:00,112,-2.2,0.59,-8.98,0,941049
2025-01-09T03:33:33+00:00,113,-2.16,0.59,-8.9,0,941049
2025-01-09T03:33:57+00:00,114,-2.28,0.75,-8.87,0,614126
2025-01-09T03:34:15+00:00,115,-2.9,0.75,-9.02,0,614126
2025-01-09T03:34:32+00:00,116,-3.22,1.73,-7.96,0,614126
2025-01-09T03:34:49+00:00,117,-3.49,0.63,-8.08,0,614126
2025-01-09T03:35:06+00:00,118,-1.77,1.26,-8.63,0,614126
2025-01-09T03:35:31+00:00,119,-2.24,0.82,-8.98,0,441913
2025-01-09T03:35:48+00:00,120,-1.49,0.31,-9.26,0,441913
2025-01-09T03:36:05+00:00,121,-0.94,0.16,-8.87,0,441913
2025-01-09T03:36:23+00:00,122,-1.65,0.24,-9.26,0,441913
2025-01-09T03:36:40+00:00,123,-2.67,1.84,-9.77,0,441913
2025-01-09T03:37:05+00:00,124,-3.57,2,-12.67,0,985059
2025-01-09T03:37:22+00:00,125,-2.2,0.59,-8.47,0,985059
2025-01-09T03:37:39+00:00,126,-2.67,-0.04,-8.43,0,985059
2025-01-09T03:37:57+00:00,127,-1.29,0.31,-9.1,0,985059
2025-01-09T03:38:14+00:00,128,-2.28,0.16,-9.77,0,985059
2025-01-09T03:38:39+00:00,129,-2.47,0.9,-9.73,0,851437
