created_at,entry_id,field1,field2,field3,field4,field5
2025-01-09 07:24:30 UTC,190,-4.55,0.04,-7.85,0,414291
2025-01-09 07:24:48 UTC,191,0.82,25.03,-17.14,0,414291
2025-01-09 07:25:05 UTC,192,-4.55,0.08,-7.88,0,414291
2025-01-09 07:25:23 UTC,193,-4.59,0.12,-7.96,0,414291
2025-01-09 07:25:40 UTC,194,-4.59,0.16,-7.88,0,414291
2025-01-09 07:26:05 UTC,195,-4.71,0.12,-7.77,0,901879
2025-01-09 07:26:22 UTC,196,-0.67,-5.02,2.79,0,901879
2025-01-09 07:26:39 UTC,197,-4.9,0.04,-7.65,0,901879
2025-01-09 07:26:57 UTC,198,-4.86,0.08,-7.65,0,901879
2025-01-09 07:27:14 UTC,199,-4.75,0.04,-7.73,0,901879
2025-01-09 07:27:39 UTC,200,-4.75,0.04,-7.3,1,616050
2025-01-09 07:27:56 UTC,201,-5.96,1.26,-5.1,1,616050
2025-01-09 07:28:13 UTC,202,-8.43,14.44,-23.1,1,616050
2025-01-09 07:28:31 UTC,203,-4.98,-0.98,-7.49,1,616050
2025-01-09 07:28:48 UTC,204,-4.51,0.12,-7.61,1,616050
2025-01-09 07:29:12 UTC,205,-4.71,-1.26,-7.37,1,959589
2025-01-09 07:29:30 UTC,206,1.29,-1.8,-4.98,1,959589
2025-01-09 07:29:47 UTC,207,0.31,17.1,-8.63,1,959589
2025-01-09 07:30:05 UTC,208,-5.3,-0.24,-7.18,1,959589
2025-01-09 07:30:22 UTC,209,-4.51,0.16,-8.04,1,959589
2025-01-09 07:30:47 UTC,210,-4.55,0.2,-7.77,1,356760
2025-01-09 07:31:04 UTC,211,2.24,2.31,-48.64,1,356760
2025-01-09 07:31:21 UTC,212,-4.24,0.16,-8.04,1,356760
2025-01-09 07:31:39 UTC,213,-4.43,0.2,-7.92,1,356760
2025-01-09 07:31:56 UTC,214,-4.47,0.12,-7.92,1,356760
2025-01-09 07:32:21 UTC,215,1.96,1.02,2.12,1,390303
2025-01-09 07:32:38 UTC,216,-9.45,2.04,-9.02,1,390303
2025-01-09 07:32:56 UTC,217,-0.27,0.24,-9.26,1,390303
2025-01-09 07:33:13 UTC,218,-0.59,-0.2,-9.3,1,390303
2025-01-09 07:33:31 UTC,219,-0.71,-0.08,-9.38,1,390303
2025-01-09 07:33:56 UTC,220,0.2,0.63,-9.34,1,280632
2025-01-09 07:34:14 UTC,221,1.73,0.43,-7.85,1,280632
2025-01-09 07:34:31 UTC,222,-1.06,-0.12,-9.22,1,280632
2025-01-09 07:34:48 UTC,223,-0.78,0,-9.22,1,280632
2025-01-09 07:35:06 UTC,224,-0.75,-0.08,-9.22,1,280632
2025-01-09 07:35:30 UTC,225,-0.39,1.22,-10.55,1,493385
2025-01-09 07:35:47 UTC,226,-0.35,-0.35,-9.26,1,493385
2025-01-09 07:36:05 UTC,227,-4.2,-0.9,-4.04,1,493385
2025-01-09 07:36:22 UTC,228,-0.51,-0.47,-9.3,1,493385
2025-01-09 07:36:40 UTC,229,-0.55,-0.55,-9.22,1,493385
2025-01-09 07:37:04 UTC,230,-0.63,-0.43,-9.26,1,756804
2025-01-09 07:37:21 UTC,231,0,-1.26,-8.98,1,756804
2025-01-09 07:37:39 UTC,232,-0.55,-0.63,-9.22,1,756804
2025-01-09 07:37:57 UTC,233,-0.75,-0.67,-9.34,1,756804
2025-01-09 07:38:14 UTC,234,-0.71,-0.63,-9.14,1,756804
2025-01-09 07:38:39 UTC,235,-1.49,-0.59,-9.06,1,733832
2025-01-09 07:38:56 UTC,236,-1.14,0,-9.18,1,733832
